NewtID,Date,count,Disturbance
2,10.21.11,13,Pre
3,10.21.11,17,Pre
4,10.21.11,9,Pre
5,10.21.11,9,Pre
6,10.21.11,18,Pre
7,10.21.11,9,Pre
8,10.21.11,7,Pre
9,10.21.11,14,Pre
10,10.21.11,12,Pre
11,10.21.11,16,Pre
13,10.21.11,15,Pre
14,10.21.11,12,Pre
16,10.21.11,8,Pre
2,12.2.11,12,Pre
3,12.2.11,15,Pre
4,12.2.11,21,Pre
5,12.2.11,13,Pre
6,12.2.11,19,Pre
7,12.2.11,16,Pre
8,12.2.11,13,Pre
9,12.2.11,12,Pre
10,12.2.11,18,Pre
11,12.2.11,15,Pre
12,12.2.11,17,Pre
13,12.2.11,15,Pre
14,12.2.11,14,Pre
16,12.2.11,12,Pre
17,12.2.11,10,Pre
5,12.5.12,18,Post1
6,12.5.12,21,Post1
8,12.5.12,25,Post1
9,12.5.12,18,Post1
13,12.5.12,14,Post1
16,12.5.12,16,Post1
17,12.5.12,13,Post1
2,4.4.12,13,Pre
3,4.4.12,12,Pre
4,4.4.12,9,Pre
5,4.4.12,10,Pre
6,4.4.12,12,Pre
7,4.4.12,12,Pre
8,4.4.12,13,Pre
9,4.4.12,15,Pre
12,4.4.12,14,Pre
13,4.4.12,14,Pre
14,4.4.12,11,Pre
16,4.4.12,14,Pre
2,5.16.12,13,Pre
3,5.16.12,12,Pre
4,5.16.12,14,Pre
5,5.16.12,5,Pre
6,5.16.12,10,Pre
7,5.16.12,14,Pre
8,5.16.12,13,Pre
9,5.16.12,12,Pre
12,5.16.12,10,Pre
13,5.16.12,14,Pre
14,5.16.12,12,Pre
16,5.16.12,8,Pre
17,5.16.12,10,Pre
5,5.29.13,18,Post1
6,5.29.13,25,Post1
8,5.29.13,14,Post1
9,5.29.13,26,Post1
13,5.29.13,22,Post1
16,5.29.13,22,Post1
17,5.29.13,27,Post1
5,6.27.12,22,Pre
6,6.27.12,21,Pre
7,6.27.12,22,Pre
8,6.27.12,20,Pre
12,6.27.12,26,Pre
13,6.27.12,26,Pre
14,6.27.12,25,Pre
16,6.27.12,22,Pre
17,6.27.12,24,Pre
5,8.14.13,28,Post2
6,8.14.13,39,Post2
8,8.14.13,35,Post2
9,8.14.13,42,Post2
16,8.14.13,40,Post2
17,8.14.13,40,Post2
5,9.18.13,34,Post2
6,9.18.13,41,Post2
8,9.18.13,36,Post2
9,9.18.13,40,Post2
17,9.18.13,40,Post2
5,9.19.12,20,Post1
6,9.19.12,31,Post1
8,9.19.12,21,Post1
9,9.19.12,31,Post1
13,9.19.12,20,Post1
16,9.19.12,23,Post1
17,9.19.12,24,Post1
2,9.9.11,11,Pre
3,9.9.11,20,Pre
4,9.9.11,17,Pre
5,9.9.11,11,Pre
6,9.9.11,24,Pre
7,9.9.11,15,Pre
8,9.9.11,15,Pre
9,9.9.11,12,Pre
10,9.9.11,16,Pre
11,9.9.11,16,Pre
12,9.9.11,18,Pre
13,9.9.11,13,Pre
14,9.9.11,8,Pre
15,9.9.11,18,Pre
16,9.9.11,11,Pre