NewtID,Date,count,Disturbance,Season
2,10.21.11,13,Pre,Fall
3,10.21.11,17,Pre,Fall
4,10.21.11,9,Pre,Fall
5,10.21.11,9,Pre,Fall
6,10.21.11,18,Pre,Fall
7,10.21.11,9,Pre,Fall
8,10.21.11,7,Pre,Fall
9,10.21.11,14,Pre,Fall
10,10.21.11,12,Pre,Fall
11,10.21.11,16,Pre,Fall
13,10.21.11,15,Pre,Fall
14,10.21.11,12,Pre,Fall
16,10.21.11,8,Pre,Fall
2,12.2.11,12,Pre,Winter
3,12.2.11,15,Pre,Winter
4,12.2.11,21,Pre,Winter
5,12.2.11,13,Pre,Winter
6,12.2.11,19,Pre,Winter
7,12.2.11,16,Pre,Winter
8,12.2.11,13,Pre,Winter
9,12.2.11,12,Pre,Winter
10,12.2.11,18,Pre,Winter
11,12.2.11,15,Pre,Winter
12,12.2.11,17,Pre,Winter
13,12.2.11,15,Pre,Winter
14,12.2.11,14,Pre,Winter
16,12.2.11,12,Pre,Winter
17,12.2.11,10,Pre,Winter
5,12.5.12,18,Post1,Winter
6,12.5.12,21,Post1,Winter
8,12.5.12,25,Post1,Winter
9,12.5.12,18,Post1,Winter
13,12.5.12,14,Post1,Winter
16,12.5.12,16,Post1,Winter
17,12.5.12,13,Post1,Winter
2,4.4.12,13,Pre,Spring
3,4.4.12,12,Pre,Spring
4,4.4.12,9,Pre,Spring
5,4.4.12,10,Pre,Spring
6,4.4.12,12,Pre,Spring
7,4.4.12,12,Pre,Spring
8,4.4.12,13,Pre,Spring
9,4.4.12,15,Pre,Spring
12,4.4.12,14,Pre,Spring
13,4.4.12,14,Pre,Spring
14,4.4.12,11,Pre,Spring
16,4.4.12,14,Pre,Spring
2,5.16.12,13,Pre,Spring
3,5.16.12,12,Pre,Spring
4,5.16.12,14,Pre,Spring
5,5.16.12,5,Pre,Spring
6,5.16.12,10,Pre,Spring
7,5.16.12,14,Pre,Spring
8,5.16.12,13,Pre,Spring
9,5.16.12,12,Pre,Spring
12,5.16.12,10,Pre,Spring
13,5.16.12,14,Pre,Spring
14,5.16.12,12,Pre,Spring
16,5.16.12,8,Pre,Spring
17,5.16.12,10,Pre,Spring
5,5.29.13,18,Post1,Spring
6,5.29.13,25,Post1,Spring
8,5.29.13,14,Post1,Spring
9,5.29.13,26,Post1,Spring
13,5.29.13,22,Post1,Spring
16,5.29.13,22,Post1,Spring
17,5.29.13,27,Post1,Spring
5,6.27.12,22,Pre,Summer
6,6.27.12,21,Pre,Summer
7,6.27.12,22,Pre,Summer
8,6.27.12,20,Pre,Summer
12,6.27.12,26,Pre,Summer
13,6.27.12,26,Pre,Summer
14,6.27.12,25,Pre,Summer
16,6.27.12,22,Pre,Summer
17,6.27.12,24,Pre,Summer
5,8.14.13,28,Post2,Summer
6,8.14.13,39,Post2,Summer
8,8.14.13,35,Post2,Summer
9,8.14.13,42,Post2,Summer
16,8.14.13,40,Post2,Summer
17,8.14.13,40,Post2,Summer
5,9.18.13,34,Post2,Fall
6,9.18.13,41,Post2,Fall
8,9.18.13,36,Post2,Fall
9,9.18.13,40,Post2,Fall
17,9.18.13,40,Post2,Fall
5,9.19.12,20,Post1,Fall
6,9.19.12,31,Post1,Fall
8,9.19.12,21,Post1,Fall
9,9.19.12,31,Post1,Fall
13,9.19.12,20,Post1,Fall
16,9.19.12,23,Post1,Fall
17,9.19.12,24,Post1,Fall
2,9.9.11,11,Pre,Fall
3,9.9.11,20,Pre,Fall
4,9.9.11,17,Pre,Fall
5,9.9.11,11,Pre,Fall
6,9.9.11,24,Pre,Fall
7,9.9.11,15,Pre,Fall
8,9.9.11,15,Pre,Fall
9,9.9.11,12,Pre,Fall
10,9.9.11,16,Pre,Fall
11,9.9.11,16,Pre,Fall
12,9.9.11,18,Pre,Fall
13,9.9.11,13,Pre,Fall
14,9.9.11,8,Pre,Fall
15,9.9.11,18,Pre,Fall
16,9.9.11,11,Pre,Fall