#OTU ID,LTEE.5..1,LTEE.5..2,LTEE.5..8,LTEE2.5.13,LTEE.5..4,LTEE.5..5,LTEE5.11,LTEE.5..6,LTEE.5..7,LTEE5.12,LTEE.5..3,LTEE5.9,LTEE.6..1,LTEE.6..2,LTEE.6..8,LTEE2.6.13,LTEE.6..4,LTEE.6..5,LTEE.6..6,LTEE.6..7,LTEE6.12,LTEE.6..3,LTEE6.9,LTEE7.2,LTEE.7..1,LTEE7.4,LTEE7.5,LTEE.7..6,LTEE7.3,LTEE.8..1,LTEE.8..2,LTEE.8..8,LTEE2.8.13,LTEE.8..4,LTEE.8..5,LTEE8.11,LTEE.8..6,LTEE.8..7,LTEE8.12,LTEE.8..3,LTEE8.9,LTEE.9..1,LTEE.9..2,LTEE.9..8,LTEE2.9.13,LTEE.9..4,LTEE.9..5,LTEE9.11,LTEE.9..7,LTEE2.9.12,LTEE.9..3,LTEE9.9,LTEE.13..1,LTEE.13..2,LTEE.13..8,LTEE.13..4,LTEE.13..5,LTEE13.11,LTEE.13..6,LTEE.13..7,LTEE.13..3,LTEE13.9,LTEE.16..1,LTEE.16..2,LTEE.16..8,LTEE.16..4,LTEE.16..5,LTEE16.11,LTEE.16..6,LTEE.16..7,LTEE2.16.12,LTEE.16..3,LTEE16.9,LTEE17.8,LTEE2.17.13,LTEE17.4,LTEE17.5,LTEE2.17.11,LTEE17.6,LTEE17.7,LTEE2.17.12,LTEE17.3,LTEE2.17.9,taxonomy
denovo35285,0,20,3,5,22,0,0,0,3,2,10,2,0,40,0,0,23,10,6,0,0,8,8,26,0,12,18,4,39,0,15,4,4,0,12,5,6,1,2,3,1,7,30,1,6,0,5,2,2,0,17,1,0,18,2,0,7,0,12,2,4,4,0,61,2,0,20,0,33,6,5,34,2,2,5,0,19,2,30,0,10,15,7,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Cellulomonadaceae
222554,85,48,21,5,9,13,2,25,18,19,0,19,35,20,15,0,23,2,16,0,5,1,20,20,77,4,20,17,40,69,23,8,1,17,17,29,8,30,2,2,0,69,14,9,2,35,2,5,4,0,21,17,49,19,33,0,6,4,17,53,0,31,36,2,3,3,4,3,14,8,1,15,41,6,2,6,21,7,5,11,0,0,7,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales
299516,0,21,0,0,0,0,0,0,0,0,9,0,0,34,0,0,1,0,0,0,0,17,0,2,1,17,1,0,1,0,2,0,0,1,0,0,1,0,0,7,0,0,1,0,0,4,2,0,0,0,10,0,0,22,0,190,0,0,0,0,1,0,0,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,131,0,k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Leuconostocaceae; g__Leuconostoc; s__
254938,0,0,30,8,1,0,81,0,27,19,0,50,0,0,28,11,3,0,0,60,51,0,58,0,0,0,0,4,0,0,0,26,3,1,1,33,0,6,0,0,116,0,0,20,2,1,1,68,34,0,0,55,0,0,17,23,0,91,0,15,0,52,0,0,45,1,1,51,0,23,0,0,9,44,1,0,1,10,0,47,2,1,2,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae
4308371,0,696,144,8,61,0,144,1,76,45,2170,82,0,971,67,70,52,14,47,179,136,1620,226,57,0,132,18,80,115,1,38,53,13,2,9,91,170,29,0,1379,335,9,58,56,4,1,124,229,68,0,1140,139,1,1121,55,0,43,147,1365,48,1514,144,2,827,122,0,55,101,16,62,1,401,39,177,1,12,67,12,2,79,4,1051,7,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Brucellaceae; g__Ochrobactrum; s__
4452634,0,0,0,0,0,0,0,0,0,0,0,0,281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234,6,0,0,0,6,0,25,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium; s__
denovo7650,0,18,5,0,3,0,0,0,1,1,4,2,0,26,1,0,0,0,0,1,1,3,5,5,0,0,0,5,13,0,4,2,2,0,0,4,3,1,0,6,0,0,1,1,0,0,0,2,5,0,18,2,0,7,2,0,0,0,11,3,2,0,0,9,2,0,0,1,0,3,0,14,1,1,0,0,0,0,0,1,0,3,0,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Brucellaceae; g__Ochrobactrum; s__
3091248,1,18,3,0,6,10,1,0,0,0,0,0,0,2,1,0,6,0,1,5,2,0,1,8,1,6,1,5,1,4,0,0,0,0,2,8,39,1,0,0,1,2,0,9,0,5,4,3,1,0,0,0,3,2,1,402,2,0,35,3,2,0,254,0,4,5,6,0,2,0,0,1,0,3,0,130,0,3,1,4,0,0,0,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Methylophilales; f__Methylophilaceae; g__; s__
denovo79939,0,31,1,4,17,0,0,0,3,2,1,1,0,35,1,0,6,9,4,1,1,8,1,23,0,19,10,3,24,0,14,5,3,0,10,2,3,2,2,9,0,3,24,1,4,0,0,0,3,0,21,1,0,17,2,0,5,0,6,1,1,2,0,15,1,0,13,0,23,5,2,55,3,3,4,0,9,0,19,1,2,4,3,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Sanguibacteraceae; g__Sanguibacter; s__
518380,8,1,4,17,3,14,1,4,2,8,1,4,12,13,18,0,18,0,15,1,5,3,0,3,12,1,4,27,2,44,3,3,0,3,4,9,14,5,7,0,0,1,3,2,6,5,1,1,3,12,0,0,11,0,5,0,1,4,6,6,0,4,35,1,4,9,5,2,3,15,5,3,4,3,10,1,10,6,9,1,12,0,6,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Methylibium; s__
2685602,0,0,14,4,0,0,7,0,10,4,0,17,0,0,3,10,0,0,0,16,3,0,9,0,0,0,0,1,0,0,1,7,1,0,0,5,0,0,0,0,15,0,0,5,0,0,0,15,14,0,0,17,0,2,0,1,0,18,5,8,0,16,0,12,10,0,0,10,5,5,1,0,1,7,2,0,0,8,0,10,1,0,0,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Delftia; s__
denovo48477,0,14,8,5,22,0,1,0,1,4,9,7,0,26,12,0,4,0,2,2,1,6,8,15,0,6,9,0,19,0,5,6,3,0,9,3,0,6,0,6,2,1,4,7,3,0,11,6,4,0,25,3,0,14,3,0,6,0,2,15,4,3,0,19,7,1,15,3,2,4,3,26,5,7,2,0,9,2,0,4,2,7,7,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Xanthomonadaceae; g__Stenotrophomonas
829133,1,0,3,0,8,22,5,0,4,5,2,2,1,0,1,0,14,12,1,4,1,7,4,0,0,3,1,1,0,1,0,3,0,1,0,1,2,0,0,2,1,0,0,3,0,5,17,5,6,0,1,0,0,0,0,283,3,16,2,4,0,0,5,0,8,1,8,3,0,2,0,0,0,5,1,67,9,0,0,0,1,1,0,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Aeromonadales; f__Aeromonadaceae; g__; s__
4426763,1,21,0,0,0,7,0,0,2,0,4,10,0,5,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,7,1,0,0,1,6,3,0,0,0,3,1,1,0,0,0,0,0,0,0,0,1,1,81,0,12,6,0,0,0,0,1,2,137,0,0,0,1,2,1,0,1,2,0,0,4,0,3,1,0,0,2,2,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__; s__
denovo44378,0,0,5,2,0,0,19,0,5,5,5,11,0,1,6,40,0,0,0,14,7,6,31,0,0,0,0,0,1,0,0,4,4,0,0,4,0,0,0,3,24,0,1,2,2,0,1,12,4,0,5,14,0,5,2,0,1,11,1,5,6,12,0,3,10,0,0,12,1,4,2,0,3,11,1,0,0,8,1,12,6,2,1,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Cellulomonadaceae; g__Cellulomonas; s__
269781,0,39,64,3,0,0,142,0,79,40,118,68,0,68,41,59,0,0,0,135,78,93,103,4,0,0,1,0,4,0,2,31,17,0,0,51,0,13,0,95,118,0,4,34,3,0,0,137,73,0,64,71,0,49,40,0,0,137,0,28,98,49,0,54,35,0,0,58,1,27,6,24,23,85,3,0,1,18,0,77,15,62,2,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae; g__Kaistia; s__
358042,0,2,0,0,5,0,0,0,0,0,8,1,0,7,0,0,6,0,0,0,0,5,0,0,0,7,3,0,1,0,0,0,0,0,2,0,0,0,0,7,0,0,0,0,0,1,6,0,0,0,6,0,0,5,0,0,27,0,0,0,640,0,0,2,0,0,1,0,1,0,0,10,0,0,0,0,5,0,0,0,0,7,0,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__
235695,13,174,7596,8789,34,14,11956,12,7124,6156,322,10665,8,223,7568,17693,29,96,18,10290,9951,310,11677,40,8,21,26,14,50,18,19,5193,5631,6,47,7915,32,1398,7,190,11665,25,45,6217,4291,9,41,7571,7377,10,176,8587,12,207,6075,21,69,11547,136,4277,310,8842,15,232,9196,7,20,13373,97,4538,2877,119,2641,10211,4097,29,51,15638,139,11640,6209,167,3987,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Cellulomonadaceae; g__Cellulomonas; s__
545997,23,7,1,0,1,4,0,2,30,2,10,2,8,2,3,10,2,9,8,0,8,1,0,5,9,0,13,7,1,7,2,0,1,0,14,41,2,12,3,0,2,3,0,3,0,1,3,22,3,0,1,0,11,37,1,0,65,4,0,42,5,1,45,14,0,0,3,5,1,5,0,0,0,3,1,1,5,51,0,2,1,1,3,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__; s__
786420,3,154,25,125,5,57,3,73,5,1039,2,17,7,44,99,27,0,21,105,15,2787,9,4,250,2,0,0,1142,11,1,56,17,42,0,4,3,50,21,289,7,26,0,242,125,43,0,5,19,340,1504,3,3,0,21,134,1,4,105,30,9,0,1,1,18,129,0,0,7,17,6,1551,1,2,37,23,11,4,2,12,3,158,1,4,k__Bacteria; p__Verrucomicrobia; c__[Spartobacteria]; o__[Chthoniobacterales]; f__[Chthoniobacteraceae]; g__Candidatus Xiphinematobacter; s__
1145138,35,31,29,41,50,39,2,74,31,33,1,7,11,30,45,1,44,17,86,11,20,6,13,88,30,56,61,82,67,24,89,43,81,73,73,23,85,65,70,10,2,70,71,59,70,91,9,12,41,82,24,23,35,10,47,17,7,2,22,36,1,18,55,1,36,85,65,1,62,49,80,48,64,22,72,42,36,3,81,13,77,9,77,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae
4425214,0,2,1,33,0,0,2,0,2,4,2,1,1,1,4,4,3,0,0,4,0,18,3,0,0,4,0,0,0,1,0,0,0,0,0,1,0,0,0,9,3,0,0,2,0,0,15,3,7,0,5,1,1,8,0,89,1,8,5,4,2,2,1,1,0,2,3,71,1,22,0,1,0,2,3,85,1,8,0,5,1,1,2,k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; s__
344394,0,1,0,0,12,0,27,4,0,0,79,70,77,0,0,11,0,0,3,0,0,0,0,1,0,1,0,126,5,15,64,0,1,13,17,45,18,0,1,2,16,0,1,0,0,5,0,19,2,0,2,0,0,5,0,0,46,18,0,4,7,5,35,7,0,3,0,2,0,0,0,3,2,0,4,101,0,63,2,0,0,7,5,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Peptostreptococcaceae
554250,0,0,0,0,0,0,0,0,1,0,0,0,147,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,45,2,0,0,0,0,0,186,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__; s__
2139822,8,0,1,0,4,0,0,4,27,15,3,3,1,1,0,1,6,0,13,0,0,2,0,0,4,0,0,18,0,4,0,1,1,1,1,1,1,2,2,0,3,6,0,0,0,1,0,0,4,0,0,0,5,1,2,28,0,0,0,11,1,3,23,4,0,1,0,0,1,0,0,0,0,0,2,150,0,0,0,0,0,0,1,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales; f__Caulobacteraceae; g__; s__
4418260,0,0,0,0,0,3,2,0,0,6,5,1,0,0,1,0,1,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,159,0,0,0,4,0,0,0,0,1,1,0,0,1,1,0,0,3,0,0,1,1,0,0,9,0,0,0,0,0,0,0,13,0,2,0,1,0,0,0,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__; s__
denovo20814,0,0,0,0,0,0,0,0,9,0,0,0,24,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,182,29,0,0,0,0,0,0,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfovibrionales; f__Desulfovibrionaceae; g__; s__
410048,1,1,274,163,3,2,363,0,184,127,14,505,0,8,180,551,0,2,0,534,171,6,363,1,0,1,2,1,1,0,1,211,88,1,0,185,0,42,2,2,736,1,0,218,38,1,0,410,204,0,1,444,0,1,116,0,8,329,2,192,6,382,1,5,294,0,1,760,2,122,20,4,52,354,43,4,0,200,2,399,75,8,83,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__
149152,0,0,0,0,14,40,0,0,0,0,0,0,0,0,0,0,23,23,0,0,1,0,0,0,0,12,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,7,25,0,0,0,0,1,0,0,0,640,15,9,8,0,0,0,0,0,12,7,15,0,0,0,0,0,0,13,0,221,13,2,0,0,0,0,0,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Alcaligenaceae; g__; s__
denovo21032,0,0,9,3,0,0,24,0,6,5,1,12,0,0,4,21,0,0,0,14,5,3,19,0,0,0,0,0,0,0,0,5,0,0,0,10,0,0,0,0,30,0,0,1,1,0,0,17,6,0,0,12,0,1,4,0,0,11,0,3,0,7,0,0,9,0,0,8,0,5,0,0,1,12,1,0,1,6,0,14,4,2,0,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Xanthomonadaceae; g__Stenotrophomonas; s__
137981,0,0,14,18,2,2,36,0,26,9,0,29,0,0,20,41,0,0,0,35,16,0,10,0,0,0,0,0,0,0,0,15,8,0,0,40,0,6,0,0,52,0,0,23,5,0,0,45,23,0,0,30,1,0,8,0,0,26,0,6,0,20,0,0,38,1,0,56,0,14,3,0,6,23,4,0,0,20,0,70,10,0,11,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micrococcaceae; g__; s__
707147,4,0,1,0,4,6,0,2,2,0,1,1,0,0,3,0,4,4,0,1,0,2,4,0,0,5,2,12,0,0,0,1,0,1,1,0,8,1,0,2,6,0,0,7,0,6,5,0,3,0,1,1,0,0,1,79,2,0,4,0,3,2,0,0,2,3,3,0,2,3,0,0,1,1,0,53,4,0,1,7,0,0,8,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Vibrionales; f__Pseudoalteromonadaceae; g__Pseudoalteromonas; s__
denovo11242,0,0,5,3,0,0,14,0,5,2,10,17,0,3,7,20,0,1,0,10,4,8,23,0,0,0,0,0,0,0,0,8,0,0,0,9,0,1,0,1,30,0,0,0,0,0,1,6,3,0,3,16,0,2,1,0,0,7,1,2,1,18,0,1,13,0,0,15,0,4,2,1,1,10,2,0,0,10,0,16,1,2,3,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Cellulomonadaceae; g__Cellulomonas; s__
4479347,3,190,3,0,1,30,6,5,8,0,19,14,10,57,8,28,2,11,12,0,12,4,0,42,7,0,52,2,2,2,54,2,0,1,32,312,4,1,2,6,12,3,32,6,0,2,2,150,1,0,0,1,6,882,2,1,161,19,0,9,11,9,42,7719,7,1,20,48,4,3,0,0,0,5,0,62,25,610,1,0,0,2,0,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Rhodoferax; s__
109263,0,2,0,0,1,0,1,0,0,0,5,2,0,1,1,2,5,226,6,1,0,9,0,0,0,6,4,19,0,0,0,0,0,0,2,1,51,0,2,4,2,7,0,4,1,0,11,1,3,0,5,2,0,1,0,50,7,2,483,0,6,2,0,1,0,0,1,1,124,1,0,2,0,0,0,0,7,0,79,0,0,1,1,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__
denovo32796,0,4,8,2,5,0,26,0,1,4,4,17,0,7,11,0,24,0,0,12,3,3,2,0,0,1,1,0,0,0,0,0,0,0,2,11,0,0,0,1,2,0,0,1,0,0,6,5,4,0,1,1,0,3,1,0,6,4,0,2,0,4,0,0,1,0,3,10,0,2,0,1,2,2,0,0,19,3,0,4,0,3,0,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__; s__
817117,20,8,10,10,7,23,0,9,1,12,0,5,12,15,31,0,23,4,37,4,3,4,1,4,4,1,7,50,4,19,7,1,0,4,10,11,25,16,5,0,0,2,3,6,2,11,3,0,13,7,2,0,9,1,8,2,2,1,5,7,0,6,16,0,3,28,12,2,15,13,1,1,4,6,1,3,18,1,11,2,4,0,5,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__RS62; s__
309489,18,0,14,0,29,59,0,12,27,0,17,16,4,0,14,0,51,43,10,27,0,16,18,0,0,34,2,35,1,0,0,7,0,9,7,0,28,7,0,22,47,0,0,59,0,25,47,0,33,0,10,15,0,0,10,1042,17,0,171,10,20,20,0,0,19,20,34,0,27,17,0,4,7,20,0,474,22,0,10,26,0,8,7,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Vibrionales; f__Pseudoalteromonadaceae; g__Pseudoalteromonas; s__
denovo62958,0,3,13,8,2,0,14,0,1,6,0,10,0,3,12,13,14,0,0,17,4,0,6,0,0,0,2,0,0,0,0,1,0,0,0,20,1,0,0,1,11,0,0,1,0,0,3,4,9,0,0,2,0,0,2,0,2,10,2,5,0,5,0,1,1,0,1,33,0,3,0,0,1,5,0,0,11,13,0,6,1,1,1,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__
4414951,832,568,186,81,86,134,1,208,202,175,18,69,182,254,119,1,172,67,182,36,43,15,135,155,1135,53,174,197,261,546,183,96,46,127,154,218,140,257,83,13,8,531,143,130,46,293,45,88,105,53,101,138,1020,163,295,36,48,8,246,505,1,156,353,40,92,103,95,14,168,137,71,158,281,86,50,92,128,38,86,78,43,16,122,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Hydrogenophaga; s__
denovo82447,0,0,0,0,0,0,0,0,0,0,1,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,889,111,0,0,1,88,39,0,0,55,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfovibrionales; f__Desulfovibrionaceae; g__Desulfovibrio; s__
denovo51930,5,2,4,0,2,45,0,0,7,6,0,0,2,1,0,0,12,28,1,3,1,3,5,10,0,6,2,27,4,0,0,1,0,9,2,14,60,3,0,0,2,2,1,2,0,0,6,10,3,0,0,2,4,2,0,360,5,30,116,15,3,3,419,1,7,6,2,3,2,1,0,0,0,4,0,548,17,4,4,4,0,2,0,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae
4345285,3,2,0,3,2,0,5,1,10,4,5,4,0,0,3,2,3,0,0,3,9,4,11,0,0,3,0,2,0,0,0,1,0,0,1,11,1,1,0,13,4,2,0,7,2,7,2,10,2,0,1,10,4,3,4,147,1,18,11,3,7,2,35,10,15,4,4,13,4,2,0,1,3,6,2,81,2,8,0,11,6,5,1,k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Staphylococcaceae; g__Staphylococcus; s__
denovo55484,0,10,4,3,11,0,5,0,2,1,27,5,0,21,2,12,8,0,0,4,2,16,3,0,0,12,2,0,2,0,0,2,1,0,1,0,0,1,0,11,2,0,0,1,0,0,14,6,1,0,11,3,0,20,0,0,20,7,0,2,30,4,0,18,1,0,1,7,2,0,0,4,0,1,0,0,15,3,0,4,0,16,0,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Cellulomonadaceae
91962,0,0,5,1,2,0,30,0,8,4,6,13,0,1,4,38,8,0,0,35,7,7,22,0,0,11,5,0,0,0,0,1,0,0,0,4,0,1,0,4,35,0,0,4,0,0,6,16,7,0,1,12,0,2,3,0,15,19,0,6,4,8,1,2,9,0,4,15,0,2,1,0,1,4,1,0,3,5,0,14,3,1,0,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__; s__
denovo39094,0,1,16,8,2,0,26,0,12,8,4,37,0,1,15,39,3,1,0,19,12,4,52,0,0,3,1,0,0,0,0,20,2,0,0,14,0,1,0,5,66,0,0,9,3,0,1,24,16,0,2,18,0,4,3,0,4,38,0,18,2,22,0,2,28,0,0,44,0,7,0,2,3,24,2,0,2,12,0,36,4,1,2,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__
denovo30849,0,15,0,0,11,0,0,0,0,1,46,0,1,33,0,1,10,1,0,0,0,26,0,2,0,13,4,0,1,0,0,0,0,0,0,0,0,0,0,35,0,0,2,1,0,0,15,1,0,0,17,0,0,30,0,0,27,0,0,0,45,0,0,20,2,0,4,2,1,0,0,7,0,0,0,0,10,0,0,0,0,15,0,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae
denovo9128,7,3,45,11,15,21,46,7,5,11,3,26,3,7,34,0,43,11,30,25,27,10,2,4,2,6,3,41,1,9,10,3,2,7,13,33,20,13,3,3,2,0,2,9,3,10,13,1,17,10,2,4,2,5,5,5,8,15,5,5,0,9,3,0,2,23,14,12,10,12,5,4,5,20,6,5,31,10,9,3,12,3,3,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae
219439,0,0,1,0,0,0,3,0,0,0,0,1,0,0,1,10,1,7,3,2,0,1,3,0,1,1,0,11,1,0,0,2,0,0,0,5,12,0,0,2,5,1,0,3,0,1,1,2,3,0,1,3,0,0,0,15,0,5,151,2,3,3,0,0,2,0,0,1,47,1,0,2,1,2,0,29,2,2,26,3,0,1,0,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Xanthomonadaceae; g__; s__
denovo53994,38,31,13,3,2,9,1,12,16,12,0,3,22,16,5,0,10,4,15,2,2,1,10,20,46,3,11,8,19,41,10,2,5,2,12,15,5,21,4,1,0,43,7,8,1,28,2,6,2,0,9,8,48,13,17,2,2,2,5,41,0,11,7,1,1,4,0,0,6,5,5,9,33,6,2,3,12,2,4,5,6,0,15,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales
252822,0,6,123,16,7,0,392,0,200,94,42,265,0,11,99,76,1,0,0,309,426,33,320,3,0,1,3,0,2,0,0,102,15,0,1,301,0,34,0,26,483,0,1,148,9,0,0,418,209,0,14,217,0,27,69,0,0,321,0,73,24,148,0,19,201,0,1,293,1,133,7,5,49,167,9,0,1,87,0,379,28,13,18,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae; g__Agrobacterium; s__
denovo28483,0,0,0,0,0,0,0,0,0,0,0,0,513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Porphyromonadaceae; g__Parabacteroides; s__
140829,1,0,2,0,4,19,0,1,0,0,2,1,0,0,3,0,5,9,1,3,0,5,2,0,0,4,2,4,0,0,0,1,0,0,0,0,5,0,0,1,7,0,0,8,0,1,7,0,2,0,3,3,0,0,0,190,2,0,34,2,2,1,0,0,3,2,2,0,3,3,0,1,1,4,0,61,4,0,5,9,0,3,2,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Vibrionales; f__Pseudoalteromonadaceae; g__Pseudoalteromonas; s__
denovo82673,19,3,10,3,4,1,2,28,13,7,1,7,8,2,21,2,6,1,47,1,3,0,5,2,7,0,12,39,2,10,1,23,1,7,10,15,1,23,13,0,5,21,1,4,3,3,0,1,5,0,1,1,16,4,10,0,4,1,4,43,2,11,83,4,29,1,6,1,3,1,3,3,4,13,4,0,1,1,2,2,2,0,4,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae; g__; s__
