#OTU ID,AmphibID,Timepoint,Date,Month,Season,Year,Season_Year,Month_Year,Temp,Temperatue Range,Disturbance Substrate,Disturbance
LTEE.13..1,13,1,9.9.11,Sep,Fall,2011,Fall2011,Sep2011,19.5,>19C,Pre substrate addition,Pre-disturbance
LTEE.13..2,13,2,10.21.11,Oct,Fall,2011,Fall2011,Oct2011,11,<12C,Pre substrate addition,Pre-disturbance
LTEE.13..3,13,3,12.2.11,Dec,Winter,2011,Winter2011,Dec2011,4.9,<12C,Pre substrate addition,Pre-disturbance
LTEE.13..4,13,4,4.4.12,Apr,Spring,2012,Spring2012,Apr2012,17.8,12-19C,Pre substrate addition,Pre-disturbance
LTEE.13..5,13,5,5.16.12,May,Spring,2012,Spring2012,May2012,18.2,12-19C,Pre substrate addition,Pre-disturbance
LTEE.13..6,13,6,6.27.12,Jun,Summer,2012,Summer2012,Jun2012,23.9,>19C,Pre substrate addition,Pre-disturbance
LTEE.13..7,13,7,8.9.12,Aug,Summer,2012,Summer2012,Aug2012,24.7,>19C,Post substrate addition 1,Post disturbance 1
LTEE.13..8,13,8,9.19.12,Sep,Fall,2012,Fall2012,Sep2012,16.9,12-19C,Post substrate addition 1,Post disturbance 1
LTEE.16..1,16,1,9.9.11,Sep,Fall,2011,Fall2011,Sep2011,19.5,>19C,Pre substrate addition,Pre-disturbance
LTEE.16..2,16,2,10.21.11,Oct,Fall,2011,Fall2011,Oct2011,11,<12C,Pre substrate addition,Pre-disturbance
LTEE.16..3,16,3,12.2.11,Dec,Winter,2011,Winter2011,Dec2011,4.9,<12C,Pre substrate addition,Pre-disturbance
LTEE.16..4,16,4,4.4.12,Apr,Spring,2012,Spring2012,Apr2012,17.8,12-19C,Pre substrate addition,Pre-disturbance
LTEE.16..5,16,5,5.16.12,May,Spring,2012,Spring2012,May2012,18.2,12-19C,Pre substrate addition,Pre-disturbance
LTEE.16..6,16,6,6.27.12,Jun,Summer,2012,Summer2012,Jun2012,23.9,>19C,Pre substrate addition,Pre-disturbance
LTEE.16..7,16,7,8.9.12,Aug,Summer,2012,Summer2012,Aug2012,24.7,>19C,Post substrate addition 1,Post disturbance 1
LTEE.16..8,16,8,9.19.12,Sep,Fall,2012,Fall2012,Sep2012,16.9,12-19C,Post substrate addition 1,Post disturbance 1
LTEE.5..1,5,1,9.9.11,Sep,Fall,2011,Fall2011,Sep2011,19.5,>19C,Pre substrate addition,Pre-disturbance
LTEE.5..2,5,2,10.21.11,Oct,Fall,2011,Fall2011,Oct2011,11,<12C,Pre substrate addition,Pre-disturbance
LTEE.5..3,5,3,12.2.11,Dec,Winter,2011,Winter2011,Dec2011,4.9,<12C,Pre substrate addition,Pre-disturbance
LTEE.5..4,5,4,4.4.12,Apr,Spring,2012,Spring2012,Apr2012,17.8,12-19C,Pre substrate addition,Pre-disturbance
LTEE.5..5,5,5,5.16.12,May,Spring,2012,Spring2012,May2012,18.2,12-19C,Pre substrate addition,Pre-disturbance
LTEE.5..6,5,6,6.27.12,Jun,Summer,2012,Summer2012,Jun2012,23.9,>19C,Pre substrate addition,Pre-disturbance
LTEE.5..7,5,7,8.9.12,Aug,Summer,2012,Summer2012,Aug2012,24.7,>19C,Post substrate addition 1,Post disturbance 1
LTEE.5..8,5,8,9.19.12,Sep,Fall,2012,Fall2012,Sep2012,16.9,12-19C,Post substrate addition 1,Post disturbance 1
LTEE.6..1,6,1,9.9.11,Sep,Fall,2011,Fall2011,Sep2011,19.5,>19C,Pre substrate addition,Pre-disturbance
LTEE.6..2,6,2,10.21.11,Oct,Fall,2011,Fall2011,Oct2011,11,<12C,Pre substrate addition,Pre-disturbance
LTEE.6..3,6,3,12.2.11,Dec,Winter,2011,Winter2011,Dec2011,4.9,<12C,Pre substrate addition,Pre-disturbance
LTEE.6..4,6,4,4.4.12,Apr,Spring,2012,Spring2012,Apr2012,17.8,12-19C,Pre substrate addition,Pre-disturbance
LTEE.6..5,6,5,5.16.12,May,Spring,2012,Spring2012,May2012,18.2,12-19C,Pre substrate addition,Pre-disturbance
LTEE.6..6,6,6,6.27.12,Jun,Summer,2012,Summer2012,Jun2012,23.9,>19C,Pre substrate addition,Pre-disturbance
LTEE.6..7,6,7,8.9.12,Aug,Summer,2012,Summer2012,Aug2012,24.7,>19C,Post substrate addition 1,Post disturbance 1
LTEE.6..8,6,8,9.19.12,Sep,Fall,2012,Fall2012,Sep2012,16.9,12-19C,Post substrate addition 1,Post disturbance 1
LTEE.7..1,7,1,9.9.11,Sep,Fall,2011,Fall2011,Sep2011,19.5,>19C,Pre substrate addition,Pre-disturbance
LTEE.7..6,7,6,6.27.12,Jun,Summer,2012,Summer2012,Jun2012,23.9,>19C,Pre substrate addition,Pre-disturbance
LTEE.8..1,8,1,9.9.11,Sep,Fall,2011,Fall2011,Sep2011,19.5,>19C,Pre substrate addition,Pre-disturbance
LTEE.8..2,8,2,10.21.11,Oct,Fall,2011,Fall2011,Oct2011,11,<12C,Pre substrate addition,Pre-disturbance
LTEE.8..3,8,3,12.2.11,Dec,Winter,2011,Winter2011,Dec2011,4.9,<12C,Pre substrate addition,Pre-disturbance
LTEE.8..4,8,4,4.4.12,Apr,Spring,2012,Spring2012,Apr2012,17.8,12-19C,Pre substrate addition,Pre-disturbance
LTEE.8..5,8,5,5.16.12,May,Spring,2012,Spring2012,May2012,18.2,12-19C,Pre substrate addition,Pre-disturbance
LTEE.8..6,8,6,6.27.12,Jun,Summer,2012,Summer2012,Jun2012,23.9,>19C,Pre substrate addition,Pre-disturbance
LTEE.8..7,8,7,8.9.12,Aug,Summer,2012,Summer2012,Aug2012,24.7,>19C,Post substrate addition 1,Post disturbance 1
LTEE.8..8,8,8,9.19.12,Sep,Fall,2012,Fall2012,Sep2012,16.9,12-19C,Post substrate addition 1,Post disturbance 1
LTEE.9..1,9,1,9.9.11,Sep,Fall,2011,Fall2011,Sep2011,19.5,>19C,Pre substrate addition,Pre-disturbance
LTEE.9..2,9,2,10.21.11,Oct,Fall,2011,Fall2011,Oct2011,11,<12C,Pre substrate addition,Pre-disturbance
LTEE.9..3,9,3,12.2.11,Dec,Winter,2011,Winter2011,Dec2011,4.9,<12C,Pre substrate addition,Pre-disturbance
LTEE.9..4,9,4,4.4.12,Apr,Spring,2012,Spring2012,Apr2012,17.8,12-19C,Pre substrate addition,Pre-disturbance
LTEE.9..5,9,5,5.16.12,May,Spring,2012,Spring2012,May2012,18.2,12-19C,Pre substrate addition,Pre-disturbance
LTEE.9..7,9,7,8.9.12,Aug,Summer,2012,Summer2012,Aug2012,24.7,>19C,Post substrate addition 1,Post disturbance 1
LTEE.9..8,9,8,9.19.12,Sep,Fall,2012,Fall2012,Sep2012,16.9,12-19C,Post substrate addition 1,Post disturbance 1
LTEE13.11,13,11,5.29.13,May,Spring,2013,Spring2013,May2013,18.7,12-19C,Post substrate addition 1,Post disturbance 1
LTEE13.9,13,9,12.5.12,Dec,Winter,2012,Winter2012,Dec2012,7.6,<12C,Post substrate addition 1,Post disturbance 1
LTEE16.11,16,11,5.29.13,May,Spring,2013,Spring2013,May2013,18.7,12-19C,Post substrate addition 1,Post disturbance 1
LTEE16.9,16,9,12.5.12,Dec,Winter,2012,Winter2012,Dec2012,7.6,<12C,Post substrate addition 1,Post disturbance 1
LTEE17.3,17,3,12.2.11,Dec,Winter,2011,Winter2011,Dec2011,4.9,<12C,Pre substrate addition,Pre-disturbance
LTEE17.4,17,4,4.4.12,Apr,Spring,2012,Spring2012,Apr2012,17.8,12-19C,Pre substrate addition,Pre-disturbance
LTEE17.5,17,5,5.16.12,May,Spring,2012,Spring2012,May2012,18.2,12-19C,Pre substrate addition,Pre-disturbance
LTEE17.6,17,6,6.27.12,Jun,Summer,2012,Summer2012,Jun2012,23.9,>19C,Pre substrate addition,Pre-disturbance
LTEE17.7,17,7,8.9.12,Aug,Summer,2012,Summer2012,Aug2012,24.7,>19C,Post substrate addition 1,Post disturbance 1
LTEE17.8,17,8,9.19.12,Sep,Fall,2012,Fall2012,Sep2012,16.9,12-19C,Post substrate addition 1,Post disturbance 1
LTEE2.16.12,16,12,8.14.13,Aug,Summer,2013,Summer2013,Aug2013,20.6,>19C,Post substrate addition 2,Post disturbance 2
LTEE2.17.11,17,11,5.29.13,May,Spring,2013,Spring2013,May2013,18.7,12-19C,Post substrate addition 1,Post disturbance 1
LTEE2.17.12,17,12,8.14.13,Aug,Summer,2013,Summer2013,Aug2013,20.6,>19C,Post substrate addition 2,Post disturbance 2
LTEE2.17.13,17,13,9.18.13,Sep,Fall,2013,Fall2013,Sep2013,17.2,12-19C,Post substrate addition 2,Post disturbance 2
LTEE2.17.9,17,9,12.5.12,Dec,Winter,2012,Winter2012,Dec2012,7.6,<12C,Post substrate addition 1,Post disturbance 1
LTEE2.5.13,5,13,9.18.13,Sep,Fall,2013,Fall2013,Sep2013,17.2,12-19C,Post substrate addition 2,Post disturbance 2
LTEE2.6.13,6,13,9.18.13,Sep,Fall,2013,Fall2013,Sep2013,17.2,12-19C,Post substrate addition 2,Post disturbance 2
LTEE2.8.13,8,13,9.18.13,Sep,Fall,2013,Fall2013,Sep2013,17.2,12-19C,Post substrate addition 2,Post disturbance 2
LTEE2.9.12,9,12,8.14.13,Aug,Summer,2013,Summer2013,Aug2013,20.6,>19C,Post substrate addition 2,Post disturbance 2
LTEE2.9.13,9,13,9.18.13,Sep,Fall,2013,Fall2013,Sep2013,17.2,12-19C,Post substrate addition 2,Post disturbance 2
LTEE5.11,5,11,5.29.13,May,Spring,2013,Spring2013,May2013,18.7,12-19C,Post substrate addition 1,Post disturbance 1
LTEE5.12,5,12,8.14.13,Aug,Summer,2013,Summer2013,Aug2013,20.6,>19C,Post substrate addition 2,Post disturbance 2
LTEE5.9,5,9,12.5.12,Dec,Winter,2012,Winter2012,Dec2012,7.6,<12C,Post substrate addition 1,Post disturbance 1
LTEE6.12,6,12,8.14.13,Aug,Summer,2013,Summer2013,Aug2013,20.6,>19C,Post substrate addition 2,Post disturbance 2
LTEE6.9,6,9,12.5.12,Dec,Winter,2012,Winter2012,Dec2012,7.6,<12C,Post substrate addition 1,Post disturbance 1
LTEE7.2,7,2,10.21.11,Oct,Fall,2011,Fall2011,Oct2011,11,<12C,Pre substrate addition,Pre-disturbance
LTEE7.3,7,3,12.2.11,Dec,Winter,2011,Winter2011,Dec2011,4.9,<12C,Pre substrate addition,Pre-disturbance
LTEE7.4,7,4,4.4.12,Apr,Spring,2012,Spring2012,Apr2012,17.8,12-19C,Pre substrate addition,Pre-disturbance
LTEE7.5,7,5,5.16.12,May,Spring,2012,Spring2012,May2012,18.2,12-19C,Pre substrate addition,Pre-disturbance
LTEE8.11,8,11,5.29.13,May,Spring,2013,Spring2013,May2013,18.7,12-19C,Post substrate addition 1,Post disturbance 1
LTEE8.12,8,12,8.14.13,Aug,Summer,2013,Summer2013,Aug2013,20.6,>19C,Post substrate addition 2,Post disturbance 2
LTEE8.9,8,9,12.5.12,Dec,Winter,2012,Winter2012,Dec2012,7.6,<12C,Post substrate addition 1,Post disturbance 1
LTEE9.11,9,11,5.29.13,May,Spring,2013,Spring2013,May2013,18.7,12-19C,Post substrate addition 1,Post disturbance 1
LTEE9.9,9,9,12.5.12,Dec,Winter,2012,Winter2012,Dec2012,7.6,<12C,Post substrate addition 1,Post disturbance 1