,LTEE.5..1,LTEE.6..1,LTEE.7..1,LTEE.8..1,LTEE.9..1,LTEE.13..1,LTEE.16..1,LTEE7.2,LTEE.5..2,LTEE.6..2,LTEE.8..2,LTEE.9..2,LTEE.13..2,LTEE.16..2,LTEE7.3,LTEE17.3,LTEE.5..3,LTEE.6..3,LTEE.8..3,LTEE.9..3,LTEE.13..3,LTEE.16..3,LTEE7.4,LTEE17.4,LTEE.5..4,LTEE.6..4,LTEE.8..4,LTEE.9..4,LTEE.13..4,LTEE.16..4,LTEE7.5,LTEE17.5,LTEE.5..5,LTEE.6..5,LTEE.8..5,LTEE.9..5,LTEE.13..5,LTEE.16..5,LTEE17.6,LTEE.5..6,LTEE.6..6,LTEE.7..6,LTEE.8..6,LTEE.13..6,LTEE.16..6,LTEE17.7,LTEE.5..7,LTEE.6..7,LTEE.8..7,LTEE.9..7,LTEE.13..7,LTEE.16..7,LTEE17.8,LTEE.5..8,LTEE.6..8,LTEE.8..8,LTEE.9..8,LTEE.13..8,LTEE.16..8,LTEE2.17.9,LTEE5.9,LTEE6.9,LTEE8.9,LTEE9.9,LTEE13.9,LTEE16.9,LTEE2.17.11,LTEE5.11,LTEE8.11,LTEE9.11,LTEE13.11,LTEE16.11,LTEE2.16.12,LTEE2.17.12,LTEE2.9.12,LTEE5.12,LTEE6.12,LTEE8.12,LTEE2.17.13,LTEE2.5.13,LTEE2.6.13,LTEE2.8.13,LTEE2.9.13
LTEE.5..1,0,0.42064654,0.062149544,0.193087354,0.099973386,0.050119769,0.167900946,0.164255237,0.22442536,0.315717826,0.204087787,0.171106088,0.350177118,0.404837037,0.167538421,0.440296257,0.479217827,0.454375083,0.45779015,0.334444605,0.493282396,0.226055791,0.325126453,0.223470798,0.296023133,0.24608329,0.135145947,0.117919207,0.400630804,0.136938572,0.191685816,0.284201946,0.108879275,0.300494796,0.19250279,0.388315685,0.405744471,0.250592733,0.202189323,0.124124548,0.132131939,0.162102264,0.171782898,0.215463317,0.201132286,0.416901687,0.281909979,0.439866274,0.162607453,0.322003802,0.197204137,0.246289124,0.372106254,0.297912739,0.301427966,0.276823009,0.292102154,0.230578804,0.360955107,0.203039713,0.400097727,0.394744837,0.491217047,0.346687808,0.315377559,0.176257671,0.368632937,0.492474428,0.280674996,0.367641417,0.451229095,0.478334,0.207138569,0.257965521,0.157029406,0.278564133,0.414550098,0.16369601,0.213051767,0.28808318,0.521194904,0.249733831,0.216109678
LTEE.6..1,0.42064654,0,0.472424378,0.284248004,0.413342098,0.462035696,0.413843509,0.456675057,0.528828789,0.58706634,0.38818155,0.462042928,0.619768201,0.677355458,0.459493316,0.704629976,0.737075848,0.722133744,0.719026515,0.60592954,0.755482153,0.505065724,0.594203208,0.48369621,0.572947525,0.526499715,0.437753661,0.419703129,0.594802607,0.438962284,0.484225476,0.555061513,0.406324262,0.571310029,0.442922614,0.648081326,0.673582312,0.527511894,0.482521256,0.425247197,0.430852173,0.441802103,0.435965292,0.555018896,0.484539487,0.693339941,0.560921676,0.714387601,0.455516884,0.596590112,0.508152324,0.526335007,0.649730867,0.576483494,0.580487616,0.556868172,0.570078622,0.512343047,0.638085838,0.487487873,0.667573634,0.669455228,0.761712917,0.623415797,0.607891379,0.464962818,0.643919264,0.733936375,0.543628971,0.634058563,0.704706819,0.746071882,0.478249519,0.537769711,0.442869554,0.546018788,0.638567847,0.428223095,0.495938143,0.566376553,0.791262539,0.530980046,0.498800405
LTEE.7..1,0.062149544,0.472424378,0,0.247217081,0.109624397,0.014642057,0.223368428,0.173718689,0.233599718,0.324943144,0.213241605,0.180462101,0.366960198,0.416327914,0.176646783,0.454964848,0.503438388,0.476244576,0.478080909,0.348225036,0.517073516,0.235418126,0.33648105,0.245898928,0.310280875,0.262374108,0.146562071,0.129205732,0.424456795,0.149093293,0.202945664,0.309251244,0.131511269,0.324171007,0.202881157,0.412176461,0.421645682,0.265707757,0.214147037,0.134846315,0.147149205,0.200258909,0.183796809,0.226837408,0.213255858,0.432376266,0.296535389,0.460758678,0.17338276,0.337731945,0.210347196,0.258292627,0.385914215,0.315509533,0.318389442,0.287810043,0.304167903,0.242472797,0.376557651,0.214695565,0.41951821,0.408142641,0.512105933,0.358951008,0.328147686,0.187670659,0.381293235,0.512358246,0.304197165,0.387638465,0.475734812,0.492891671,0.227748198,0.267276877,0.17843932,0.300089435,0.44785901,0.172692995,0.222343526,0.296996229,0.532209334,0.258908702,0.225366545
LTEE.8..1,0.193087354,0.284248004,0.247217081,0,0.205088821,0.236682232,0.237757717,0.264081355,0.324991311,0.409062347,0.202403938,0.270134449,0.442661518,0.500135899,0.267826808,0.529287423,0.561280607,0.546330233,0.542910601,0.429032932,0.579072722,0.324307329,0.416480253,0.293249148,0.395368897,0.34535634,0.243761836,0.225261053,0.429627056,0.244907355,0.292465038,0.377985399,0.212373885,0.394328933,0.250038107,0.472056127,0.496935477,0.342722233,0.300852647,0.231078245,0.237283392,0.251259442,0.248861856,0.351026829,0.304058328,0.51632845,0.382817464,0.537574596,0.265066577,0.418613444,0.303605587,0.346785927,0.472798116,0.399285053,0.401663627,0.378019244,0.391903364,0.332026349,0.461000039,0.305795332,0.490810001,0.492663116,0.58500674,0.446287398,0.413987423,0.279082501,0.458743613,0.562951316,0.365162071,0.457157474,0.529084476,0.568999274,0.297739084,0.357084174,0.252257163,0.366870386,0.476736923,0.235536232,0.314851726,0.385081678,0.61482926,0.350429429,0.317665546
LTEE.9..1,0.099973386,0.413342098,0.109624397,0.205088821,0,0.106935239,0.16106312,0.069271931,0.151116027,0.226812937,0.116997188,0.07569075,0.269252092,0.318425624,0.070291482,0.356449459,0.405651727,0.378014345,0.380299438,0.249508209,0.419217369,0.131509486,0.238741075,0.184578081,0.212889326,0.178919518,0.060617271,0.044319949,0.35393606,0.064712064,0.099961371,0.228258928,0.068886374,0.242357388,0.101962308,0.317388521,0.324248005,0.170375215,0.115294915,0.050789623,0.070472625,0.119670499,0.093333961,0.204085863,0.107916443,0.334917348,0.204197785,0.371581989,0.075543349,0.247221767,0.1439658,0.166826201,0.292509971,0.230778164,0.232441827,0.189426274,0.21102164,0.148910019,0.281823122,0.11382553,0.332817565,0.312531518,0.415462297,0.263167622,0.242805359,0.087361652,0.301285528,0.426898223,0.225442525,0.295079593,0.391890305,0.400086846,0.13937296,0.170890916,0.103879528,0.211980876,0.364689134,0.091270309,0.120857578,0.204945776,0.435344668,0.155094873,0.123873946
LTEE.13..1,0.050119769,0.462035696,0.014642057,0.236682232,0.106935239,0,0.211962894,0.171677182,0.232273163,0.323309161,0.211628062,0.178504396,0.362800124,0.412631339,0.17517618,0.451096909,0.499383191,0.472450914,0.474219055,0.344328269,0.512764293,0.234042921,0.33509276,0.23687715,0.306486674,0.258293353,0.144928728,0.128214705,0.41700891,0.147800144,0.201220038,0.303900235,0.121534873,0.315814631,0.201608245,0.408425319,0.417673517,0.2616875,0.212275801,0.132671048,0.143482424,0.192924344,0.1822142,0.22556832,0.21089206,0.428167641,0.292415916,0.456436366,0.17146859,0.333564418,0.206721639,0.256915568,0.382489453,0.310912766,0.313668803,0.285498237,0.302670148,0.240318973,0.371969724,0.213061628,0.415296145,0.405438912,0.507844291,0.357204117,0.325840599,0.186034131,0.37711398,0.507895183,0.296678819,0.38341242,0.469830047,0.488966334,0.22100229,0.26536773,0.171525186,0.29348027,0.441394167,0.17137938,0.220571626,0.295710303,0.528896928,0.257053655,0.223328277
LTEE.16..1,0.167900946,0.413843509,0.223368428,0.237757717,0.16106312,0.211962894,0,0.189890634,0.296969043,0.336463555,0.223666161,0.197245506,0.370281356,0.4221075,0.194473944,0.462342452,0.498329852,0.4767455,0.479825624,0.357576024,0.514662944,0.25107757,0.35227869,0.26409815,0.321322015,0.271783898,0.165890974,0.147894697,0.413362401,0.166321649,0.219043381,0.320681336,0.142672259,0.337520907,0.212572317,0.409360712,0.426943963,0.273952629,0.230546233,0.15310973,0.155433575,0.177633019,0.193468181,0.329551725,0.228958165,0.441598734,0.307581053,0.464075889,0.188095556,0.345457324,0.27001578,0.271489792,0.39743084,0.325156672,0.325346113,0.302514701,0.316209576,0.267842956,0.384215621,0.230281703,0.416478761,0.418635629,0.509251647,0.370395136,0.374476308,0.20328,0.410696045,0.509223308,0.312108066,0.399926425,0.463137086,0.493913243,0.233821711,0.283797179,0.185694212,0.298493116,0.409238352,0.188486933,0.240329212,0.312241265,0.540979772,0.276036802,0.243566055
LTEE7.2,0.164255237,0.456675057,0.173718689,0.264081355,0.069271931,0.171677182,0.189890634,0,0.166871989,0.202547913,0.084516349,0.010602657,0.262697588,0.263613282,0.034885259,0.302142287,0.350404564,0.330606702,0.324722672,0.21880547,0.365288698,0.075608333,0.190320435,0.233992426,0.161185235,0.164470212,0.046170963,0.059095552,0.352250065,0.050180307,0.068557647,0.232691323,0.103082397,0.252411821,0.066839648,0.305549163,0.296888651,0.117092282,0.066657248,0.04731115,0.055631979,0.0941276,0.058473053,0.226573384,0.059839122,0.300972429,0.212044484,0.326545928,0.050266123,0.198149593,0.182691749,0.128805949,0.25703151,0.235766569,0.194178496,0.148139418,0.171457939,0.163473738,0.234587866,0.097169404,0.317636845,0.29903385,0.371133513,0.25562327,0.277681667,0.082736285,0.329949681,0.392015961,0.250215136,0.311470101,0.354053824,0.359074022,0.093813877,0.125435922,0.077583869,0.190226098,0.328140909,0.064148318,0.086464674,0.183526178,0.388633379,0.117689838,0.08897745
LTEE.5..2,0.22442536,0.528828789,0.233599718,0.324991311,0.151116027,0.232273163,0.296969043,0.166871989,0,0.104910286,0.239124993,0.167459487,0.146201818,0.198434313,0.146995574,0.243849062,0.288102099,0.263194995,0.264086895,0.134324208,0.305596827,0.106649108,0.16198647,0.302065475,0.13827796,0.144587359,0.205670952,0.187966548,0.444468745,0.208912414,0.146954387,0.143917142,0.205037234,0.179447845,0.167002198,0.225743292,0.229401034,0.160742241,0.165942284,0.191789991,0.206590214,0.248235442,0.209624647,0.136590141,0.130725697,0.323019889,0.198193121,0.355635165,0.17493702,0.234812024,0.134629791,0.173490171,0.280969098,0.220973826,0.22408324,0.188219445,0.2015421,0.153461938,0.266758867,0.165681265,0.317428832,0.293963385,0.394780568,0.251099045,0.222779088,0.159948343,0.298455403,0.411438425,0.214743638,0.274403883,0.370259647,0.386941918,0.215973046,0.195568175,0.241982385,0.205857966,0.346214565,0.226857456,0.177584377,0.215057271,0.422794961,0.185825971,0.178029978
LTEE.6..2,0.315717826,0.58706634,0.324943144,0.409062347,0.226812937,0.323309161,0.336463555,0.202547913,0.104910286,0,0.266532695,0.202891772,0.070805876,0.121239672,0.178864,0.146576826,0.191152632,0.164019656,0.168271805,0.039049585,0.20898236,0.134344494,0.121997863,0.371251025,0.097325367,0.1155876,0.236202401,0.21800648,0.467767396,0.237971207,0.152247699,0.124655266,0.252363698,0.174374116,0.195087954,0.163786169,0.170187495,0.143284785,0.194315718,0.225262213,0.237061219,0.278486991,0.236564967,0.203775348,0.159880764,0.276966948,0.188787445,0.308829335,0.200764186,0.21190069,0.216519268,0.193013569,0.239878645,0.198349928,0.209915622,0.190697029,0.196947412,0.185748578,0.232701833,0.192748131,0.270491734,0.248252236,0.346130972,0.209205159,0.234629359,0.187516337,0.328056228,0.361857052,0.22490454,0.254662137,0.323851372,0.337459928,0.243127014,0.196708741,0.272428456,0.200940456,0.309518758,0.258996293,0.20271733,0.21335729,0.37634879,0.194203332,0.203397744
LTEE.8..2,0.204087787,0.38818155,0.213241605,0.202403938,0.116997188,0.211628062,0.223666161,0.084516349,0.239124993,0.266532695,0,0.088929245,0.324693273,0.329931591,0.107228038,0.361296894,0.403969485,0.389579519,0.378829385,0.281732164,0.423549057,0.147974184,0.252699488,0.248475314,0.227079276,0.223623181,0.093012031,0.103787465,0.340834762,0.095641501,0.134498297,0.288124279,0.137451102,0.30752117,0.084329675,0.358937753,0.355127105,0.174398668,0.126227673,0.09457808,0.096700168,0.12994223,0.084775109,0.277825064,0.131324209,0.359326789,0.266478132,0.383774891,0.111507646,0.256269078,0.235266593,0.184676288,0.314475016,0.290083848,0.249517068,0.20898122,0.22986286,0.221686205,0.294323661,0.156688261,0.363279141,0.356018683,0.425025094,0.312511183,0.33221252,0.144490644,0.377046661,0.431483129,0.290780622,0.361928438,0.400269176,0.410663926,0.149971868,0.188025754,0.120231414,0.243706289,0.384857749,0.080017959,0.147939532,0.241097168,0.449134348,0.180069947,0.150616444
LTEE.9..2,0.171106088,0.462042928,0.180462101,0.270134449,0.07569075,0.178504396,0.197245506,0.010602657,0.167459487,0.202891772,0.088929245,0,0.262838122,0.262854698,0.034443954,0.297168185,0.346572321,0.329272035,0.320618786,0.21807713,0.360844588,0.073733369,0.188854264,0.238490475,0.160151829,0.164332452,0.047576598,0.065365546,0.356473877,0.051053746,0.072584049,0.232266869,0.108489805,0.250593639,0.071062588,0.30386919,0.295827052,0.112139361,0.062218043,0.052693181,0.061319494,0.098553597,0.062676809,0.225744746,0.058264705,0.302430672,0.215081796,0.3252871,0.052874249,0.195574059,0.185655026,0.130036521,0.259262681,0.238781842,0.196146074,0.146497457,0.172599088,0.166646403,0.233003514,0.099905977,0.32012259,0.302100924,0.370030494,0.258387982,0.280984256,0.08596652,0.332606202,0.394120815,0.253825211,0.313823377,0.356394081,0.361271664,0.090198614,0.122460862,0.0772786,0.191490056,0.329268146,0.064217484,0.083963574,0.186339816,0.387337022,0.114869886,0.086165791
LTEE.13..2,0.350177118,0.619768201,0.366960198,0.442661518,0.269252092,0.362800124,0.370281356,0.262697588,0.146201818,0.070805876,0.324693273,0.262838122,0,0.098787086,0.238998974,0.137986323,0.156343582,0.132451647,0.134793186,0.066144794,0.175093595,0.195138954,0.164064199,0.403016693,0.148918304,0.149443572,0.293821638,0.277253148,0.510284851,0.297064909,0.210515214,0.131938359,0.290924823,0.155138262,0.253127615,0.167980914,0.202140061,0.183154552,0.254668265,0.284335299,0.293442627,0.32721918,0.295190323,0.232319595,0.219786384,0.296576294,0.214263965,0.316976029,0.257104001,0.249242315,0.252356756,0.249161886,0.270274949,0.214660868,0.242426211,0.246431291,0.25237795,0.225930599,0.261472687,0.247604299,0.282576203,0.273736113,0.343812061,0.236464016,0.243920924,0.242703323,0.331806093,0.376939019,0.231702669,0.24278471,0.331914559,0.352336513,0.294259641,0.253640045,0.32680429,0.250056121,0.330107576,0.317102788,0.259176643,0.24813794,0.398823006,0.250246835,0.260366519
LTEE.16..2,0.404837037,0.677355458,0.416327914,0.500135899,0.318425624,0.412631339,0.4221075,0.263613282,0.198434313,0.121239672,0.329931591,0.262854698,0.098787086,0,0.255190017,0.157458601,0.180557942,0.157259635,0.14705236,0.121209039,0.194888457,0.195706799,0.186288495,0.456042119,0.167962753,0.206848334,0.293643963,0.306921259,0.539885244,0.296451623,0.226834954,0.21348065,0.342053574,0.199211247,0.264128077,0.232564316,0.255714088,0.1856028,0.253738091,0.300441707,0.302088375,0.335987598,0.296822982,0.287431615,0.223712193,0.304727074,0.259238109,0.325176774,0.26855653,0.247992062,0.300815849,0.247986392,0.272910143,0.269792701,0.247007744,0.242641104,0.254007126,0.273425607,0.258015321,0.262423672,0.316108748,0.302617028,0.359193958,0.268156028,0.293085729,0.272679905,0.373341765,0.389770342,0.28862737,0.315457233,0.352439751,0.357126221,0.295487522,0.250280261,0.329796214,0.280057428,0.345347229,0.317135868,0.256177015,0.259879484,0.393690659,0.247652171,0.256975399
LTEE7.3,0.167538421,0.459493316,0.176646783,0.267826808,0.070291482,0.17517618,0.194473944,0.034885259,0.146995574,0.178864,0.107228038,0.034443954,0.238998974,0.255190017,0,0.29248838,0.340408434,0.31600905,0.316152147,0.192988412,0.35591071,0.064484244,0.179636598,0.234739105,0.152937344,0.143810604,0.063458578,0.061287209,0.353404057,0.068156484,0.062210219,0.211909142,0.111074711,0.23316334,0.069595115,0.283386771,0.274387243,0.111632115,0.071691316,0.05452967,0.073428652,0.118233588,0.07801314,0.2053871,0.058248353,0.293996573,0.198967194,0.328757862,0.045342303,0.209521417,0.167795949,0.129617529,0.254555209,0.223002912,0.195893258,0.15113056,0.174090244,0.154763711,0.242188506,0.081014442,0.30445282,0.284234451,0.372894664,0.240933958,0.263641268,0.065921174,0.317834096,0.388260854,0.236486714,0.298509583,0.349285158,0.359357336,0.111845635,0.136021259,0.107731354,0.186277955,0.3246509,0.092927087,0.091673787,0.175558747,0.391574569,0.120839442,0.095104789
LTEE17.3,0.440296257,0.704629976,0.454964848,0.529287423,0.356449459,0.451096909,0.462342452,0.302142287,0.243849062,0.146576826,0.361296894,0.297168185,0.137986323,0.157458601,0.29248838,0,0.089388265,0.111712852,0.117834822,0.120082869,0.094067539,0.232680341,0.15084621,0.486423729,0.158948243,0.224015691,0.322488073,0.343649988,0.563715294,0.324046767,0.264546528,0.184972594,0.373919539,0.251170505,0.299144208,0.142412848,0.158947635,0.216722504,0.285563782,0.33859974,0.342101082,0.37430144,0.333909855,0.316842038,0.261450255,0.311322659,0.304028457,0.293000138,0.308811851,0.285872171,0.346590122,0.290841632,0.296067137,0.304150753,0.28943694,0.277064694,0.297153829,0.316215281,0.276039921,0.304222733,0.317253671,0.324756221,0.309923236,0.286274367,0.318485385,0.31293452,0.41014487,0.392162454,0.32902849,0.30071553,0.334802277,0.332280913,0.331039482,0.284934396,0.35805034,0.321469713,0.373922159,0.347332781,0.29072233,0.294038826,0.393593788,0.284545571,0.290542563
LTEE.5..3,0.479217827,0.737075848,0.503438388,0.561280607,0.405651727,0.499383191,0.498329852,0.350404564,0.288102099,0.191152632,0.403969485,0.346572321,0.156343582,0.180557942,0.340408434,0.089388265,0,0.072603111,0.103593976,0.16043135,0.050717025,0.280661213,0.189856629,0.522106107,0.202768174,0.262610393,0.371466178,0.390432583,0.600212688,0.371969156,0.311740284,0.217573006,0.421778012,0.279694654,0.344054191,0.179657292,0.218809734,0.257889612,0.334295943,0.386432939,0.388054077,0.408159613,0.377960482,0.341822774,0.307857849,0.322665585,0.335778395,0.306914319,0.354695858,0.319378411,0.380395238,0.325289746,0.307752908,0.337162425,0.322726644,0.313990216,0.330547291,0.352005174,0.30396143,0.339157618,0.319769081,0.333111056,0.320078679,0.318429739,0.348846306,0.348650246,0.421094322,0.396476972,0.354795469,0.326190988,0.333929484,0.351007153,0.368333801,0.324063624,0.406864792,0.352194337,0.382022044,0.396046685,0.329331617,0.329622252,0.406100094,0.32295173,0.330050412
LTEE.6..3,0.454375083,0.722133744,0.476244576,0.546330233,0.378014345,0.472450914,0.4767455,0.330606702,0.263194995,0.164019656,0.389579519,0.329272035,0.132451647,0.157259635,0.31600905,0.111712852,0.072603111,0,0.093387993,0.134871932,0.054004021,0.26152493,0.181615856,0.50856323,0.180881514,0.235816293,0.357940427,0.362022393,0.588140726,0.357524235,0.286769762,0.192895496,0.394824142,0.248500661,0.320599116,0.192699012,0.236368531,0.240077198,0.317099302,0.360022014,0.362179932,0.388706564,0.357038793,0.318055068,0.281680575,0.277328161,0.309963083,0.294473241,0.326905288,0.299725638,0.354105743,0.300280553,0.276450168,0.308479547,0.294746234,0.300895929,0.303119344,0.323361645,0.288616602,0.313731786,0.295052336,0.290133797,0.312103165,0.293047105,0.324130553,0.323938864,0.378117977,0.357471952,0.332945083,0.315144973,0.306269744,0.323712031,0.349426986,0.307125593,0.391460196,0.325143529,0.356760423,0.383572954,0.313924304,0.299761921,0.38002235,0.305394905,0.314625209
LTEE.8..3,0.45779015,0.719026515,0.478080909,0.542910601,0.380299438,0.474219055,0.479825624,0.324722672,0.264086895,0.168271805,0.378829385,0.320618786,0.134793186,0.14705236,0.316152147,0.117834822,0.103593976,0.093387993,0,0.137344243,0.114733767,0.256113029,0.18703825,0.50725824,0.179632518,0.23777495,0.349275652,0.363069587,0.584668528,0.351460868,0.28786992,0.205878989,0.397189871,0.225030931,0.31920226,0.178054602,0.240201237,0.233353165,0.309280245,0.360517408,0.363455911,0.388022365,0.352277017,0.322716181,0.281294266,0.323077178,0.314554584,0.322385179,0.329862402,0.296364236,0.359248783,0.302106008,0.305914439,0.315108972,0.299453179,0.295428859,0.306400199,0.329072024,0.287692163,0.318155356,0.331476931,0.333005081,0.345193213,0.297925008,0.330127577,0.327542862,0.424744017,0.401938996,0.338740279,0.326737486,0.353686514,0.369763411,0.344366406,0.303130457,0.383379847,0.331683258,0.380558942,0.371085552,0.309116914,0.306849687,0.418127798,0.300174657,0.309654507
LTEE.9..3,0.334444605,0.60592954,0.348225036,0.429032932,0.249508209,0.344328269,0.357576024,0.21880547,0.134324208,0.039049585,0.281732164,0.21807713,0.066144794,0.121209039,0.192988412,0.120082869,0.16043135,0.134871932,0.137344243,0,0.176351401,0.147287672,0.119876774,0.389369081,0.096313454,0.123821234,0.248070166,0.237279103,0.479937812,0.252027871,0.166727602,0.124884038,0.27253264,0.178764815,0.210430643,0.159199684,0.165032527,0.152009212,0.208518352,0.241438638,0.252843904,0.290637943,0.251540365,0.215681137,0.17419938,0.268002128,0.201044845,0.296474957,0.21511454,0.216272994,0.239149466,0.20624759,0.241752785,0.209411841,0.214957756,0.202769568,0.209917732,0.208456939,0.233964385,0.205537879,0.266413303,0.250642456,0.330586543,0.216339509,0.245013891,0.205655137,0.34176119,0.355145292,0.238515498,0.25099076,0.313534435,0.330996695,0.253654517,0.211503855,0.285183558,0.216341231,0.313460178,0.273765442,0.216135067,0.223810377,0.374175527,0.207754131,0.217278806
